#MCS	ActivatedTCell_Wall_contact_area	Total_cell_Wall_contact_area
44700	1207.0	1207.0
44800	1215.0	1215.0
44900	1211.0	1211.0
45000	1216.0	1216.0
45100	1231.0	1231.0
45200	1213.0	1213.0
45300	1238.0	1238.0
45400	1220.0	1220.0
45500	1225.0	1225.0
45600	1233.0	1233.0
45700	1239.0	1239.0
45800	1228.0	1228.0
45900	1224.0	1224.0
46000	1218.0	1218.0
46100	1247.0	1247.0
46200	1249.0	1249.0
46300	1269.0	1269.0
46400	1264.0	1264.0
46500	1254.0	1254.0
46600	1265.0	1265.0
46700	1250.0	1250.0
46800	1265.0	1265.0
46900	1278.0	1278.0
47000	1276.0	1276.0
47100	1274.0	1274.0
47200	1270.0	1270.0
47300	1284.0	1284.0
47400	1280.0	1280.0
47500	1284.0	1284.0
47600	1295.0	1295.0
47700	1280.0	1280.0
47800	1310.0	1310.0
47900	1300.0	1300.0
48000	1281.0	1281.0
48100	1281.0	1281.0
48200	1290.0	1290.0
48300	1278.0	1278.0
48400	1293.0	1293.0
48500	1287.0	1287.0
48600	1291.0	1291.0
48700	1304.0	1304.0
48800	1311.0	1311.0
48900	1293.0	1293.0
49000	1294.0	1294.0
49100	1282.0	1282.0
49200	1293.0	1293.0
49300	1282.0	1282.0
49400	1296.0	1296.0
49500	1277.0	1277.0
49600	1306.0	1306.0
49700	1298.0	1298.0
49800	1305.0	1305.0
49900	1318.0	1318.0
50000	1290.0	1290.0
50100	1302.0	1302.0
50200	1309.0	1309.0
50300	1311.0	1311.0
50400	1323.0	1323.0
50500	1301.0	1301.0
50600	1305.0	1305.0
50700	1308.0	1308.0
50800	1322.0	1322.0
50900	1307.0	1307.0
51000	1320.0	1320.0
51100	1349.0	1349.0
51200	1309.0	1309.0
51300	1315.0	1315.0
51400	1323.0	1323.0
51500	1332.0	1332.0
51600	1335.0	1335.0
51700	1330.0	1330.0
51800	1347.0	1347.0
51900	1325.0	1325.0
52000	1332.0	1332.0
52100	1333.0	1333.0
52200	1357.0	1357.0
52300	1356.0	1356.0
52400	1356.0	1356.0
52500	1353.0	1353.0
52600	1367.0	1367.0
52700	1352.0	1352.0
52800	1349.0	1349.0
52900	1352.0	1352.0
53000	1348.0	1348.0
53100	1348.0	1348.0
53200	1338.0	1338.0
53300	1342.0	1342.0
53400	1351.0	1351.0
53500	1340.0	1340.0
53600	1371.0	1371.0
53700	1384.0	1384.0
53800	1386.0	1386.0
53900	1397.0	1397.0
54000	1378.0	1378.0
54100	1407.0	1407.0
54200	1404.0	1404.0
54300	1412.0	1412.0
54400	1416.0	1416.0
54500	1404.0	1404.0
54600	1418.0	1418.0
54700	1418.0	1418.0
54800	1415.0	1415.0
54900	1409.0	1409.0
55000	1422.0	1422.0
55100	1417.0	1417.0
55200	1440.0	1440.0
55300	1431.0	1431.0
55400	1433.0	1433.0
55500	1428.0	1428.0
55600	1424.0	1424.0
55700	1435.0	1435.0
55800	1433.0	1433.0
55900	1418.0	1418.0
56000	1439.0	1439.0
56100	1439.0	1439.0
56200	1457.0	1457.0
56300	1437.0	1437.0
56400	1441.0	1441.0
56500	1458.0	1458.0
56600	1434.0	1434.0
56700	1444.0	1444.0
56800	1428.0	1428.0
56900	1465.0	1465.0
57000	1468.0	1468.0
57100	1475.0	1475.0
57200	1476.0	1476.0
57300	1491.0	1491.0
57400	1486.0	1486.0
57500	1471.0	1471.0
57600	1490.0	1490.0
57700	1490.0	1490.0
57800	1498.0	1498.0
57900	1492.0	1492.0
58000	1504.0	1504.0
58100	1495.0	1495.0
58200	1506.0	1506.0
58300	1517.0	1517.0
58400	1517.0	1517.0
58500	1510.0	1510.0
58600	1501.0	1501.0
58700	1523.0	1523.0
58800	1515.0	1515.0
58900	1521.0	1521.0
59000	1517.0	1517.0
59100	1523.0	1523.0
59200	1511.0	1511.0
59300	1543.0	1543.0
59400	1527.0	1527.0
59500	1544.0	1544.0
59600	1545.0	1545.0
59700	1575.0	1575.0
59800	1568.0	1568.0
59900	1548.0	1548.0
60000	1564.0	1564.0
60100	1583.0	1583.0
60200	1593.0	1593.0
60300	1590.0	1590.0
60400	1605.0	1605.0
60500	1589.0	1589.0
60600	1581.0	1581.0
60700	1611.0	1611.0
60800	1608.0	1608.0
60900	1618.0	1618.0
61000	1634.0	1634.0
61100	1601.0	1601.0
61200	1628.0	1628.0
61300	1597.0	1597.0
61400	1616.0	1616.0
61500	1624.0	1624.0
61600	1626.0	1626.0
61700	1625.0	1625.0
61800	1622.0	1622.0
