#MCS	Surface_energy
51500	3667.603266893869
51600	3446.704857598161
51700	3349.511188665935
51800	3044.3504312949563
51900	2594.5566459924303
52000	3123.0662817545717
52100	3057.4501951249617
52200	3520.1108914304436
52300	3209.880435499372
52400	3029.4409326426176
52500	3226.908074495855
52600	4102.976892768741
52700	3247.28162364188
52800	3304.7260883331514
52900	4239.731439177373
53000	3505.5350254846408
53100	3415.938593138772
53200	3913.536322126542
53300	3166.1855927193374
53400	3105.1278937037296
53500	3261.562178497607
53600	3434.269484890805
53700	2995.8345407402403
53800	3219.5046787882975
53900	3287.6549355142256
54000	3024.3037570719043
54100	3131.8951011475992
54200	3631.676807721088
54300	3458.233211812901
54400	3371.4874391493618
54500	3784.9472588487556
54600	3553.8284954906844
54700	3983.1964295074113
54800	3484.336181813227
54900	3227.8643586200437
55000	3426.8880273810896
55100	3302.2042821982245
55200	3555.943000125809
55300	3287.2455926534763
55400	3748.735305118481
55500	3346.2332581014007
55600	3580.349435469227
55700	3766.37228620589
55800	3406.174756794827
55900	3058.838013869972
56000	3499.3302313852264
56100	3388.3696091891293
56200	3451.331515054645
56300	3562.516369164776
56400	3333.1175824846573
56500	3733.615429993386
56600	3372.8189053835235
56700	3684.6719506815966
56800	3373.880029471803
56900	3794.446278378052
57000	3473.588720704942
57100	3225.6155195628885
57200	3766.989062210383
57300	4113.532383676337
57400	4045.18748462267
57500	3408.536017411412
57600	3649.03888525937
57700	3973.8955315879734
57800	4013.316473219351
57900	3945.389956436792
58000	3774.916760405055
58100	3972.480622769141
58200	4129.725626354462
58300	3794.6318368271786
58400	3944.100743591652
58500	4586.457371093799
58600	3833.3490103204103
58700	4208.152300804219
58800	4289.689158936852
58900	4268.552189185976
59000	4120.14121297724
59100	4309.760537896728
59200	4213.7957702657795
59300	4650.529205060859
59400	4269.418654360161
59500	4271.738216584254
59600	4136.373007559113
59700	4634.110685767372
59800	4458.254154159841
59900	4901.0763201503805
60000	4204.467988325447
60100	4187.312586715079
60200	4449.873123879648
60300	4196.954035674169
60400	4461.605668255066
60500	4280.966801522669
60600	4615.448424936786
60700	4101.58122673265
60800	4475.006808696541
60900	3960.2977665905887
61000	4896.573449054318
61100	4550.474918621451
61200	4263.666686136916
61300	4247.700140259359
61400	4464.800130267245
61500	3917.9839150724406
61600	4131.472853468011
61700	4646.061485757574
61800	4274.896174963503
61900	4537.443333901939
62000	4290.787644580822
62100	4301.857553032068
62200	4717.28776173648
62300	4538.841395759612
62400	4904.296697381937
62500	3960.9391881744364
62600	4893.294879087715
62700	4171.75224204594
62800	4604.613186678021
62900	4291.169804423124
63000	3981.775155188472
63100	4612.177514026436
63200	4558.3529723696665
63300	4479.389124004284
63400	4672.929639413815
63500	4797.517333861639
63600	4250.310184983082
63700	4569.4600737833025
63800	5147.600026215535
63900	4669.186905188408
64000	5218.669144813231
64100	4489.2547793890035
64200	4513.657860777906
64300	4520.6560277215995
64400	4420.37067421866
64500	4089.8325201873613
64600	4459.691695441305
64700	4326.8604337043835
64800	4665.027364641655
64900	4529.592247533606
65000	4133.279868839633
65100	4878.247405244286
65200	4605.427913703329
65300	4525.848251241523
65400	4177.199074696881
65500	4701.9849430311
65600	4396.206825477111
65700	4322.00468104364
65800	4521.7702376659245
65900	4146.914597042664
66000	4501.568013242468
66100	4370.401563014563
66200	4307.826812105923
66300	4542.689286079359
66400	5151.933613364149
66500	4571.176264371569
66600	4406.662271902583
66700	4442.299651065447
66800	4569.809254046104
66900	4188.539254561092
67000	4632.730600916929
67100	4338.415176138102
67200	4394.872748615129
67300	4056.05642225699
67400	4615.406841192842
67500	4633.520716256705
67600	3994.7781799748245
67700	4768.731828903174
67800	3948.561041948158
67900	4310.896913141151
68000	4251.943856292005
68100	4766.149119675067
68200	4139.75373708709
68300	4524.470777356267
68400	4733.975001992899
68500	4573.21848937639
68600	3922.2178021058385
68700	4098.972846949764
68800	4602.321937258644
68900	4455.151459360948
69000	4558.295755733569
69100	4156.018612402803
69200	4023.5248298500865
69300	4351.773559288972
69400	4224.859082605974
69500	4057.161272416294
69600	4598.475831353188
69700	4103.2370374774255
69800	4326.056332408054
69900	4328.492266085952
70000	4323.886354341211
70100	4457.667164788725
70200	4621.169510587817
70300	4810.775848572269
70400	4103.568394245888
70500	4672.830399740566
70600	4281.735092650467
70700	4657.540071836367
70800	4372.150440777263
70900	4653.546070770338
71000	4231.391609170592
71100	4039.8316471412563
71200	4650.485130245736
71300	4900.924309254456
71400	4266.213465955603
71500	4925.653413032972
71600	4772.133346788299
71700	4625.7036968577895
71800	5116.831291836236
71900	4887.945090476017
72000	4721.418352678178
72100	5044.1585383171505
72200	4938.39272868985
72300	5162.85276199915
72400	5213.126090212501
72500	5271.912187562729
72600	4883.9965191435795
72700	4840.585262855704
72800	4615.408131967322
72900	4553.7143023835615
73000	4715.084480644019
73100	4966.570556023173
73200	5021.724234124184
73300	4725.474642836563
73400	4955.449280733942
73500	5557.988862332187
73600	5109.003305310576
73700	4610.137278110147
73800	4523.791420512635
73900	5023.851766523542
74000	5442.424818401511
74100	4529.197567395343
