#MCS	Total_energy
68600	273100.25698299333
68700	273778.2081166927
68800	274318.2241753646
68900	274787.65604492836
69000	275748.00647701876
69100	274978.43148301693
69200	275835.39815328905
69300	276165.2509752935
69400	276699.5911408948
69500	277073.49902370566
69600	278277.9419720586
69700	278265.5082505673
69800	279089.43387871986
69900	279272.04626727884
70000	279895.06413515867
70100	280022.7636706451
70200	280747.15472002537
70300	281382.0861793167
70400	281244.5061963278
70500	282198.80214117403
70600	282340.46474743815
70700	282518.14785641374
70800	283073.7085443827
70900	283620.87243907084
71000	283893.6083205294
71100	284192.88578991254
71200	285254.79589734174
71300	286081.2948441118
71400	286003.0387589608
71500	287218.5206262576
71600	287233.5387555629
71700	287608.6012721258
71800	288117.77480505744
71900	288697.4600458267
72000	289079.07800998655
72100	289590.9344323381
72200	290281.9447762264
72300	290912.0008583034
72400	291238.8221035375
72500	292223.55054326076
72600	291608.1055192803
72700	292111.54172101925
72800	292249.35691617243
72900	293091.0178111643
73000	292687.6359539998
73100	293863.0243762769
73200	294746.7165439595
73300	294863.6015263933
73400	295514.70327595505
73500	296512.481710553
73600	297172.8172930859
73700	296315.6724803789
73800	297405.1692730565
73900	297927.70852233464
74000	299018.5875656314
74100	298630.53415263805
74200	299813.87547234865
74300	299983.8237529075
74400	300445.0380657909
74500	300661.756093242
74600	301708.0057738736
74700	302453.3648757293
74800	301650.2317406187
74900	303247.2938040377
75000	303187.37678938534
75100	303435.9685474638
75200	304537.13730072335
75300	303915.2464735246
75400	304710.7353453777
75500	305233.60080514225
75600	305890.5171357608
75700	306618.6171648851
75800	306228.6891906958
75900	306936.8476990762
76000	307172.09599982493
76100	308519.7471851839
76200	308157.1571447271
76300	308264.86127856775
76400	309808.8322430409
76500	309781.14294596
76600	309936.8503347602
76700	311421.7827990867
76800	310692.29540026543
76900	311812.2252243798
77000	312433.6568667645
77100	312463.2207166874
77200	312771.4645465971
77300	313965.1102976373
77400	313740.9605967789
77500	313230.65077560797
77600	314367.10428878793
77700	315526.959496908
77800	315228.9308258182
77900	316464.94598579855
78000	317062.4300214698
78100	316519.2863250543
78200	317183.37950684404
78300	318159.65576713515
78400	318053.95374833484
78500	318758.29658176086
