#MCS	Total_cells	P_mean	P10	P20	P30	P40	P50	P60	P70	P75	P80	P90	P95	P99	P_max
31400	100	32.453885043623075	27.48577487612365	29.184971150690398	30.024775362999208	31.364850853685493	32.42477545836664	32.85709629755293	34.71795638619642	35.25162069395856	35.99919429781185	37.281035929645626	39.624775744468934	39.75986279254851	41.84804881816308
31500	100	31.64243544423648	27.07301441952877	27.624775267631776	29.35917860457157	30.19748760336006	31.864642252799058	32.95005436393804	34.60792968623027	34.82477555373407	35.039821459457016	36.94130145297822	37.2247756491015	38.798501729756374	39.624775744468934
31600	100	32.74447079540598	28.467787789562315	30.596752729501894	31.395145652687642	32.42477545836664	32.63570393891587	33.51161501800707	34.82477555373407	34.82477555373407	35.02116667479495	36.214110920484394	37.2247756491015	37.82267892540666	39.624775744468934
31700	100	32.2189859150345	27.624775267631776	29.18986281315847	30.467955888431426	31.52573463848603	32.42477545836664	32.931992840979	33.88661958570956	34.82477555373407	35.23774839513171	37.2247756491015	39.624775744468934	40.12679376463956	42.024775839836366
31800	100	32.17201751913824	26.59119665275157	28.47026108661594	29.943485763775335	30.96683542233477	32.38351385719125	33.6292785891088	34.82477555373407	35.14613821384273	36.39179896270434	37.22799393886326	39.624775744468934	40.67012660815643	41.35577893374284
31900	100	32.13113092036276	26.5258080894203	28.863280485384166	30.21486248082947	31.397568137975032	32.42477545836664	33.49183413474202	34.82477555373407	34.827505537376055	35.05156309732956	36.410087078674955	37.34477565386987	41.41957414274864	44.4247759352038
32000	100	32.27864580045	26.7863488540027	29.50708478961824	30.428605608712132	31.96794532013082	32.43350851529067	33.672163719808665	34.82477555373407	34.82477555373407	35.75059017842104	37.2247756491015	37.82731856273758	38.584934906193	39.59819993977544
32100	100	32.50610274874472	27.295597421444835	29.034404901016934	30.200578791247516	32.22472455587486	32.9784224356963	33.795913716530414	34.82477555373407	34.86787512917317	35.65183407752156	37.2247756491015	38.23837064535428	39.63141681607302	40.28888290487703
32200	100	32.52958911979867	27.454110219369703	28.585271459545766	30.024775362999208	31.567430499197872	32.45566656524079	33.59632784535279	34.82477555373407	35.1368307342309	35.874378627290206	37.2247756491015	38.68804241688931	42.05011705889175	44.55889774537354
32300	100	32.20077895102402	26.895101139940106	29.417548964353408	30.581062880064017	31.4416576448637	32.42477545836664	32.75356663720959	34.27906769543042	34.82477555373407	34.95126891053333	37.2247756491015	37.81148177116492	41.032925622349126	42.024775839836366
32400	100	32.21561840559968	26.304238576246917	28.378401653014226	30.024775362999208	31.458344503552507	32.60984594348065	33.51308718593682	34.74208580060785	34.958587864807214	35.799298062872914	37.2247756491015	39.62993438082022	40.96248691877078	42.024775839836366
32500	100	32.72985965949911	26.727786233483766	29.459481031113683	30.359658848453638	31.92685096086789	33.00910175617264	33.95213929832935	34.91415572181923	35.68511715769455	36.526639657374474	37.37203621090685	38.90287126250332	41.410570067301016	42.024775839836366
32600	100	32.480529614364094	26.45300512809208	28.77768875181173	30.024775362999208	32.41195904798515	32.61145848667729	33.84642335874705	34.82477555373407	34.82477555373407	35.392702309483866	37.2247756491015	38.697172055319335	41.55508286828243	42.54874307450336
32700	100	32.7878475923934	27.587353363259354	29.648346992907317	30.28865489830823	32.335172941017845	32.658267109704866	34.33279633170241	34.82477555373407	35.4515890266739	36.363651990793734	37.76954215130427	39.624775744468934	41.345137027286476	42.17729533043712
32800	100	32.614327936358286	27.48124438918312	29.905395238244637	31.08462121633365	32.18237372021213	32.46554052738156	34.145204783937515	34.82477555373407	34.82477555373407	35.33213193755328	37.2247756491015	37.84903441299239	39.31439963479092	39.624775744468934
32900	100	32.547914423344594	27.134708143480385	28.65447708515385	30.160055811138772	32.32279950444863	32.99549244256832	34.098749096691606	34.82477555373407	35.60375310040172	36.048723410269304	37.65173987781364	39.49230148370516	40.86287431423201	43.95013158718393
33000	100	33.174898069658376	27.624775267631776	30.53295512377008	31.930253975914457	32.42477545836664	33.378441498585744	34.82477555373407	35.83437054119186	36.051397894451384	36.410552624316914	37.2247756491015	38.28516978655725	43.32175304853243	44.03670385051555
33100	100	32.29320893393974	25.86221946869373	29.764434025964874	30.75632227483529	31.913682473667905	32.42477545836664	33.44604586691203	34.82477555373407	35.34491006679241	36.297662612659046	37.2247756491015	38.175488338060134	39.603337695986994	39.8604573180819
33200	100	32.69992454574948	26.54771208053926	29.694842505591623	30.24772121408987	32.42477545836664	32.96489551955074	34.596830748536014	34.83262871293827	35.54534360182697	36.43980372217484	37.985280670979776	38.82251781615896	41.337353626003406	41.84896892311917
33300	100	32.810692219168594	27.91718050434374	29.905926942138468	30.24036861418699	32.2268930671773	32.42477545836664	33.39636569244685	34.82477555373407	35.61589985911314	36.225828508116685	37.249096455862855	39.624775744468934	41.92663111930389	42.024775839836366
33400	100	32.96705140723891	27.624775267631776	29.4978768736024	31.22093957209745	32.39605084528157	33.200263860483574	34.80589232747043	34.89927062089519	35.326478785237214	36.07271480367672	37.2247756491015	38.236307275657964	41.157950582416	42.024775839836366
33500	100	33.23184467065326	27.46867328355911	29.679743171274822	31.378056419741917	32.42477545836664	34.26981034093933	34.82477555373407	35.54891003850007	35.987241173128496	36.45524500594547	37.2247756491015	39.9320504100574	41.57303725660062	42.024775839836366
33600	100	33.48082501741295	27.624775267631776	30.716910197021935	32.00010848151023	32.42477545836664	33.74128557466702	34.54883697539335	35.27471876158397	36.03770961661576	36.5699642411877	37.30666756029478	39.76210633802129	42.556042328584894	44.4247759352038
33700	100	33.44329167509211	28.754785004859876	30.147959804122365	32.00617224782909	32.42477545836664	33.02368953959967	34.44009155591084	34.96476973415029	35.66640950132978	36.08532161486619	38.535853886348384	40.51878554771246	42.04877584079005	44.4247759352038
33800	100	33.419244908812225	28.846509855945623	30.024775362999208	30.731881815277667	32.31822515704298	33.649790063174805	34.82477555373407	35.70476620502559	36.134670826205365	37.012891780723656	38.68026066355542	39.62934729892659	43.265690854097144	44.4247759352038
33900	100	33.35335580126407	27.624775267631776	30.024775362999208	31.824636913282667	32.42477545836664	33.36713244737166	34.82477555373407	35.72089550757683	36.32741564836988	36.8962224722909	37.806461705990294	38.80550617415356	40.95530845216407	42.024775839836366
34000	100	33.250331497060195	27.624775267631776	30.024775362999208	31.154170164686548	32.42477545836664	33.427055999251024	34.82477555373407	35.992889518926134	36.438120067434284	36.94511437773399	37.45507362325789	39.17539797954032	40.163794086779625	41.803842581541176
34100	100	33.16092862130306	27.298052179070236	29.62041425438947	31.801705700511228	32.42477545836664	33.83105073952538	34.82477555373407	35.31454694656404	36.08528384936426	36.600080512362545	38.07833486773343	39.300655163111784	41.614305080458706	44.630212745925746
34200	100	33.83435868101605	28.980363154401676	30.513888351814238	32.42477545836664	32.77840123127826	33.605758921152756	34.79332671501034	35.744277159789455	36.77381761408333	37.2247756491015	39.019835697284364	39.624775744468934	41.60524959974156	44.44251133488251
34300	100	33.16554702811227	27.624775267631776	29.548371409618266	30.77091623807173	32.42477545836664	33.59024416631473	34.82477555373407	35.78643719285228	36.08640651473979	36.97655862128577	37.76143698794476	38.81187755765177	39.62504021406909	39.6512227044841
34400	100	33.744898573675236	27.559906083102668	29.451927930727834	32.145963656479395	32.989877055754185	34.7140802724075	35.57780270741241	36.31077754151083	37.2247756491015	37.2247756491015	39.31758990082235	40.41133857485083	42.03852881762158	43.400073618357055
34500	100	33.347813394692956	28.296249326699307	30.824826148752983	32.27144537312597	32.42477545836664	33.42159030115363	34.82477555373407	35.39300306020832	35.899546244421344	36.351034193276426	37.850952213844906	38.18328176436735	39.6499423673597	42.024775839836366
34600	100	33.077965562486014	26.86054364573838	28.92007705370379	31.607853319171955	32.42477545836664	34.17098145561795	34.82477555373407	35.79908108289819	36.33869723376438	37.07421746269283	38.3109222944333	39.60369048832272	41.45862065050332	44.4247759352038
34700	100	33.43349868879962	27.59998214710449	29.11819762340656	31.587642595830403	32.44861587461255	34.71071114063943	35.172017195701116	36.10235454288177	36.61468752186329	37.2247756491015	37.95027273733685	39.37960222828114	39.79906379553836	41.665002863539485
34800	100	33.75853898214771	27.624775267631776	30.024535097149055	32.1573111598409	33.30763598898684	34.61515182349012	34.93303024355919	36.58466532112052	37.2247756491015	37.566748272399124	38.11719488257313	39.626368630792605	40.32396142567628	40.32578323348935
34900	100	33.12977337730112	27.624775267631776	30.024775362999208	30.413391604598566	32.42477545836664	34.37480530275752	34.837042697273866	36.04054271590594	36.14229945759507	36.45743128518443	37.80658392888745	38.2742911308529	39.89916270035734	40.066986548450586
35000	100	33.54403626254679	28.077262973857888	30.024775362999208	31.867031092457456	32.84118809484935	34.396070713571135	34.87340194924036	36.10862636278398	36.44532984507532	37.2247756491015	37.98194220060923	39.624775744468934	41.547498044874956	41.97244151506311
35100	100	33.571483743928745	28.340428097501626	29.916030243872775	31.547541812590953	32.469745843947024	34.367121739728645	34.990723560367044	36.13675136203892	36.43840502531248	36.841468022953634	37.93481909394741	38.4910398372559	39.80619637628191	42.024775839836366
35200	100	33.773284311296074	28.800918655371152	30.060964627240356	32.377276799045106	32.9658307307076	34.368961949640834	35.22010709921233	36.544432015301574	36.90548875317336	37.256999886633274	38.296171776025226	39.62755060122936	40.14298048869818	40.52598159244371
