#MCS	Mean_volume
67200	42.038216560509554
67300	41.968152866242036
67400	42.210191082802545
67500	42.617834394904456
67600	42.10126582278481
67700	41.911949685534594
67800	41.62264150943396
67900	41.84276729559748
68000	41.930817610062896
68100	42.16981132075472
68200	42.0251572327044
68300	42.42767295597484
68400	42.44025157232704
68500	42.57232704402516
68600	42.339622641509436
68700	42.534591194968556
68800	42.84905660377358
68900	42.880503144654085
69000	42.918238993710695
69100	43.22641509433962
69200	43.20125786163522
69300	43.308176100628934
69400	43.40880503144654
69500	43.666666666666664
69600	43.484276729559745
69700	43.3625
69800	43.58125
69900	43.525
70000	43.26875
70100	43.675
70200	43.6375
70300	43.81875
70400	43.77639751552795
70500	43.407407407407405
70600	43.44444444444444
70700	43.48148148148148
70800	43.51234567901235
70900	43.611111111111114
71000	43.14110429447853
71100	43.355828220858896
71200	43.50920245398773
71300	43.76687116564417
71400	43.693251533742334
71500	43.91411042944785
71600	43.48780487804878
71700	43.73170731707317
71800	43.920731707317074
71900	43.896341463414636
72000	43.707317073170735
72100	43.951219512195124
72200	43.775757575757574
72300	43.903030303030306
72400	43.71515151515152
72500	43.96969696969697
72600	44.38181818181818
72700	44.345454545454544
72800	44.27272727272727
72900	44.406060606060606
73000	44.18072289156626
73100	44.3855421686747
73200	44.24096385542169
73300	44.43975903614458
73400	44.69277108433735
73500	44.51204819277108
73600	44.75301204819277
73700	44.463855421686745
73800	44.95783132530121
73900	44.897590361445786
74000	45.066265060240966
74100	45.18674698795181
74200	45.373493975903614
74300	45.19277108433735
74400	45.536144578313255
74500	45.26946107784431
74600	45.25748502994012
74700	45.26946107784431
74800	45.40718562874252
74900	45.52095808383233
75000	45.52694610778443
75100	45.49101796407186
75200	45.73652694610779
75300	45.964071856287426
75400	45.83832335329341
75500	46.08982035928144
75600	45.583333333333336
75700	46.160714285714285
75800	45.898809523809526
75900	46.01190476190476
76000	46.285714285714285
76100	46.49404761904762
76200	46.267857142857146
76300	46.375
76400	46.03550295857988
76500	46.27810650887574
76600	46.22485207100592
76700	46.396449704142015
76800	46.1764705882353
76900	45.94736842105263
77000	46.19298245614035
77100	45.89473684210526
77200	46.187134502923975
77300	46.30409356725146
77400	46.578947368421055
77500	46.69005847953216
77600	46.526315789473685
77700	46.23837209302326
77800	46.5406976744186
77900	46.61046511627907
78000	46.622093023255815
78100	46.80813953488372
78200	46.877906976744185
78300	47.325581395348834
78400	46.94767441860465
78500	46.76744186046512
78600	47.25581395348837
78700	47.13953488372093
78800	47.424418604651166
78900	47.13953488372093
79000	47.30813953488372
79100	47.5
79200	47.7906976744186
79300	47.58720930232558
79400	47.68604651162791
79500	47.70348837209303
79600	48.03488372093023
79700	47.924418604651166
79800	48.0
79900	48.133720930232556
80000	48.16279069767442
80100	48.20348837209303
80200	48.41860465116279
80300	48.2906976744186
80400	48.55232558139535
80500	48.593023255813954
80600	48.202312138728324
80700	48.28901734104046
80800	48.65895953757225
80900	48.68208092485549
81000	48.83236994219653
81100	48.36206896551724
81200	48.71264367816092
81300	48.182857142857145
81400	47.98863636363637
81500	48.05681818181818
81600	48.09090909090909
81700	48.00568181818182
81800	48.21590909090909
81900	48.23863636363637
