#MCS	Total_cells	Percent_div_0	Percent_div_1	Percent_div_2	Percent_div_3	Percent_div_4	Percent_div_5	Percent_div_6	Percent_div_7	Percent_div_8	Percent_div_9	Percent_div_10
82400	160	28.749999999999996	63.74999999999999	7.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
82500	160	28.749999999999996	63.74999999999999	7.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
82600	160	28.749999999999996	63.74999999999999	7.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
82700	161	28.57142857142857	62.732919254658384	8.695652173913043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
82800	161	28.57142857142857	62.732919254658384	8.695652173913043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
82900	161	28.57142857142857	62.732919254658384	8.695652173913043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
83000	163	28.22085889570552	60.73619631901841	11.042944785276074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
83100	163	28.22085889570552	60.73619631901841	11.042944785276074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
83200	163	28.22085889570552	60.73619631901841	11.042944785276074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
83300	164	27.439024390243905	61.58536585365854	10.975609756097562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
83400	164	27.439024390243905	61.58536585365854	10.975609756097562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
83500	164	27.439024390243905	61.58536585365854	10.975609756097562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
83600	164	27.439024390243905	61.58536585365854	10.975609756097562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
83700	164	27.439024390243905	61.58536585365854	10.975609756097562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
83800	164	27.439024390243905	61.58536585365854	10.975609756097562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
83900	165	26.666666666666668	62.42424242424243	10.909090909090908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84000	165	26.666666666666668	62.42424242424243	10.909090909090908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84100	166	25.903614457831324	63.25301204819277	10.843373493975903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84200	166	25.903614457831324	63.25301204819277	10.843373493975903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84300	166	25.903614457831324	63.25301204819277	10.843373493975903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84400	166	25.903614457831324	63.25301204819277	10.843373493975903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84500	166	25.903614457831324	63.25301204819277	10.843373493975903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84600	166	25.903614457831324	63.25301204819277	10.843373493975903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84700	166	25.903614457831324	63.25301204819277	10.843373493975903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84800	166	25.903614457831324	63.25301204819277	10.843373493975903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84900	166	25.903614457831324	63.25301204819277	10.843373493975903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85000	166	25.903614457831324	63.25301204819277	10.843373493975903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85100	168	25.595238095238095	61.30952380952381	13.095238095238097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85200	168	25.595238095238095	61.30952380952381	13.095238095238097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85300	168	25.595238095238095	61.30952380952381	13.095238095238097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85400	168	25.595238095238095	61.30952380952381	13.095238095238097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85500	168	25.595238095238095	61.30952380952381	13.095238095238097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85600	170	25.294117647058822	59.411764705882355	15.294117647058824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85700	170	25.294117647058822	59.411764705882355	15.294117647058824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85800	170	25.294117647058822	59.411764705882355	15.294117647058824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85900	170	25.294117647058822	59.411764705882355	15.294117647058824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86000	170	25.294117647058822	59.411764705882355	15.294117647058824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86100	170	25.294117647058822	59.411764705882355	15.294117647058824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86200	170	25.294117647058822	59.411764705882355	15.294117647058824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86300	170	25.294117647058822	59.411764705882355	15.294117647058824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86400	170	25.294117647058822	59.411764705882355	15.294117647058824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86500	170	25.294117647058822	59.411764705882355	15.294117647058824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86600	170	25.294117647058822	59.411764705882355	15.294117647058824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86700	170	25.294117647058822	59.411764705882355	15.294117647058824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86800	170	25.294117647058822	59.411764705882355	15.294117647058824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86900	170	25.294117647058822	59.411764705882355	15.294117647058824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87000	171	25.146198830409354	58.47953216374269	16.374269005847953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87100	171	25.146198830409354	58.47953216374269	16.374269005847953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87200	171	25.146198830409354	58.47953216374269	16.374269005847953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87300	171	25.146198830409354	58.47953216374269	16.374269005847953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87400	173	24.85549132947977	56.64739884393064	18.497109826589593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87500	173	24.85549132947977	56.64739884393064	18.497109826589593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87600	173	24.85549132947977	56.64739884393064	18.497109826589593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87700	173	24.85549132947977	56.64739884393064	18.497109826589593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87800	173	24.85549132947977	56.64739884393064	18.497109826589593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87900	173	24.85549132947977	56.64739884393064	18.497109826589593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
88000	173	24.85549132947977	56.64739884393064	18.497109826589593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
88100	174	24.137931034482758	57.47126436781609	18.39080459770115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
88200	174	24.137931034482758	57.47126436781609	18.39080459770115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
88300	175	23.42857142857143	58.285714285714285	18.285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
88400	175	23.42857142857143	58.285714285714285	18.285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
88500	176	23.295454545454543	57.38636363636363	19.318181818181817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
88600	176	23.295454545454543	57.38636363636363	19.318181818181817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
88700	176	23.295454545454543	57.38636363636363	19.318181818181817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
88800	178	21.910112359550563	58.98876404494382	19.101123595505616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
88900	178	21.910112359550563	58.98876404494382	19.101123595505616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
89000	178	21.910112359550563	58.98876404494382	19.101123595505616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
89100	178	21.910112359550563	58.98876404494382	19.101123595505616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
89200	178	21.910112359550563	58.98876404494382	19.101123595505616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
89300	178	21.910112359550563	58.98876404494382	19.101123595505616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
89400	180	21.666666666666668	57.22222222222222	21.11111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
89500	180	21.666666666666668	57.22222222222222	21.11111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
89600	181	20.994475138121548	58.011049723756905	20.994475138121548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
89700	181	20.994475138121548	58.011049723756905	20.994475138121548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
89800	181	20.994475138121548	58.011049723756905	20.994475138121548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
89900	181	20.994475138121548	58.011049723756905	20.994475138121548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90000	181	20.994475138121548	58.011049723756905	20.994475138121548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90100	181	20.994475138121548	58.011049723756905	20.994475138121548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
