#MCS	Mean_pressure	{Cells_over_pressure_threshold}
80000	33.56952141480717	54
80100	33.38715511634104	54
80200	33.049352338381155	54
80300	33.23240631568784	54
80400	33.44777421140965	51
80500	33.601967733984175	56
80600	33.44197541750156	51
80700	33.22039530150783	51
80800	33.10777405152656	46
80900	33.08885241856825	49
81000	33.7044239659285	57
81100	33.28847444016018	60
81200	33.50631515877559	55
81300	33.63349057824514	61
81400	33.614995604823044	58
81500	33.33476993431362	56
81600	33.18126525991144	64
81700	33.61477607403115	60
81800	33.37718008093352	56
81900	33.12512931863361	56
82000	33.07678020560701	57
82100	33.38328587957093	59
82200	33.609390493749	59
82300	33.21892344695472	56
82400	33.06092494374946	52
82500	33.491589074313616	59
82600	33.17735158419573	48
82700	33.187970272744565	54
82800	33.234319842381446	53
82900	33.42851013228085	55
83000	33.30761064150315	57
83100	32.79053589705744	56
83200	32.93318242890628	56
83300	32.81061416318316	51
83400	33.1887746918775	59
83500	32.89671312571753	55
83600	32.97322290992439	51
83700	33.057033620549504	52
83800	33.5372894723271	62
83900	32.99975813258361	56
84000	33.35137905344924	61
84100	33.595538308067454	57
84200	32.8522987526348	52
84300	32.88400672669216	53
84400	32.77581086531373	50
84500	32.97237032508605	54
84600	33.21617825089505	54
84700	33.02949081489179	58
84800	33.58419018206005	54
84900	33.1765203521963	54
85000	33.077790055731526	56
85100	33.24104416610682	56
85200	33.28112692172325	45
85300	33.010529691259244	56
85400	33.3919046913969	59
85500	33.43032796840804	58
85600	32.824106543552794	54
85700	32.93720815440545	49
85800	33.253312753894114	54
85900	33.556506167506555	61
86000	33.432037146183056	60
86100	32.82936573451515	60
86200	32.758953736360084	52
86300	33.207779228735845	54
86400	33.20654254542798	55
86500	33.34465132631404	59
86600	33.298721248799914	58
86700	33.4818566548931	59
86800	33.754991201604206	68
86900	32.73766835485883	54
87000	33.17407043359248	59
87100	33.1589285007086	55
87200	33.13433311730149	62
87300	33.45375535553844	59
87400	33.543971817024406	66
87500	33.658250790165525	64
87600	33.34308688644883	59
87700	33.06674250808948	59
87800	32.876289077490526	55
87900	33.310643315023206	63
88000	33.186192996534494	59
88100	33.53967003844121	61
88200	33.3455501326821	62
88300	33.144688821673554	65
88400	33.36702539923905	63
88500	32.903295947137806	57
88600	33.51242826170794	62
88700	33.04826560316052	58
88800	33.453362739433736	63
88900	33.36402321727058	67
89000	33.01213775031926	56
89100	33.01860526486466	62
89200	32.62304296928584	52
89300	32.69162906657208	56
89400	33.10375780792261	62
89500	32.84457278706571	63
89600	32.87425126272665	66
89700	32.93614181033411	61
89800	32.91160692918853	59
89900	33.01665275785072	62
90000	32.81820692504362	55
90100	32.641743575316035	64
90200	32.81580512888376	59
90300	33.13773809082863	64
90400	32.87245803871241	58
90500	32.93803468219407	60
90600	33.18522344742116	72
90700	33.04270699722211	59
90800	32.493276473256586	59
90900	32.56099194024951	61
91000	33.20125261797185	61
91100	32.64534782030014	60
91200	32.72212908808938	61
91300	32.51160171228498	58
91400	32.87952772569506	60
91500	32.825582255334744	63
91600	32.93361029180382	61
91700	32.29496694457061	60
91800	32.90506808238225	59
91900	32.60671252365941	65
92000	32.54761061930033	64
92100	33.00051913326225	66
92200	32.875717536355225	62
92300	32.69632851481916	63
92400	32.91674004576306	64
92500	32.547992045441084	58
92600	32.505826955573816	61
92700	33.10486381951887	64
92800	32.68045185519428	60
92900	32.332760473919706	61
93000	32.45002141146031	59
93100	32.33421960947191	66
93200	32.22578606595859	58
93300	32.36465561798867	62
93400	32.38315121507452	56
93500	32.20075769262286	62
93600	32.60819444053941	62
93700	32.34931991683441	63
93800	32.20978364791167	59
93900	32.59808083020869	63
94000	32.07659796491551	58
94100	32.31414597957577	63
94200	32.16031920294232	61
94300	32.48550438717559	58
94400	32.50155898215908	62
94500	32.78709747088483	66
94600	32.68880890854708	66
94700	32.48020685478019	63
94800	32.05431378623345	60
94900	32.03485219892746	55
95000	32.703612945080344	64
95100	32.54544326855824	67
95200	33.08972870074774	68
95300	32.61083225805865	65
95400	32.89412743577924	65
95500	32.34151412247738	59
95600	32.33322839524825	63
95700	32.692844072710955	61
95800	32.54956906713113	65
95900	32.28271858688818	59
96000	32.70095541093416	66
96100	31.95468122429666	55
96200	32.46520855795301	61
96300	32.51340260691438	69
96400	32.5984835386248	70
96500	32.41325905561628	64
96600	32.27287055947307	62
96700	32.476948484235415	67
96800	32.51871745556022	64
96900	32.55529394488388	62
97000	32.21957214475488	63
97100	32.3546808867632	70
97200	32.96525330171128	65
97300	32.58779417479149	63
97400	33.02706195415751	72
97500	32.308515631590666	66
97600	32.4850237294045	62
97700	32.28992550029538	58
97800	32.59587364282065	65
97900	32.71181118155131	65
98000	32.250583554099904	60
98100	31.963690759994392	65
98200	32.52588895739772	62
98300	32.34964640858904	62
98400	32.700928144475185	66
98500	32.617876939229625	66
98600	32.61722778189317	72
98700	32.249566376158064	62
98800	32.332516132112524	71
98900	32.455994858439645	69
99000	32.48095608485139	71
99100	32.64344127663448	68
99200	32.806238840054874	73
99300	32.43475106086474	60
99400	32.28481099121228	60
99500	32.206981983673614	57
99600	32.85944544699018	71
99700	32.9622715615128	70
99800	32.65717160789866	67
99900	32.886087186074676	72
100000	32.559917333820344	68
100100	32.71747946917563	64
100200	32.5286723206269	64
100300	32.661688523450934	70
100400	32.41651818055216	65
100500	32.7818446549187	72
100600	32.77350329974019	69
100700	32.68769843283072	67
100800	33.01170109178061	69
100900	32.58317982783929	68
101000	32.9131271660237	73
101100	32.81998082079156	64
101200	32.560267298866236	65
101300	32.37413763379564	63
101400	32.44468026077619	70
101500	32.032517091192005	61
101600	32.294874638428325	63
101700	32.72442304096903	70
101800	32.39250094490427	61
