#MCS	VolumeEnergy
5720	2138.0
5730	1642.0
5740	1880.0
5750	1732.0
5760	1808.0
5770	1576.0
5780	1996.0
5790	1824.0
5800	1446.0
5810	1534.0
5820	1826.0
5830	1882.0
5840	1784.0
5850	1872.0
5860	1692.0
5870	1640.0
5880	1674.0
5890	1810.0
5900	1708.0
5910	1416.0
5920	1550.0
5930	1616.0
5940	1674.0
5950	1762.0
5960	1502.0
5970	1844.0
5980	1702.0
5990	1486.0
6000	1658.0
6010	1576.0
6020	1646.0
6030	1458.0
6040	1464.0
6050	1628.0
6060	1412.0
6070	1858.0
6080	1426.0
6090	1900.0
6100	1862.0
6110	1412.0
6120	1642.0
6130	1566.0
6140	1820.0
6150	1748.0
6160	1348.0
6170	1546.0
6180	1646.0
6190	1568.0
6200	1772.0
6210	1974.0
6220	1818.0
6230	1694.0
6240	1338.0
6250	1554.0
6260	1632.0
6270	1614.0
6280	1720.0
6290	1672.0
6300	1694.0
6310	1544.0
6320	1458.0
6330	1772.0
6340	1786.0
6350	1588.0
6360	1836.0
6370	1654.0
6380	1866.0
6390	1662.0
6400	1518.0
6410	1608.0
6420	1608.0
6430	1688.0
6440	1926.0
6450	1586.0
6460	1768.0
6470	1674.0
6480	1680.0
6490	1338.0
6500	1812.0
6510	1552.0
6520	1560.0
6530	1976.0
6540	1832.0
6550	1842.0
6560	1726.0
6570	1834.0
6580	1870.0
6590	1750.0
6600	1578.0
6610	1576.0
6620	1422.0
6630	1318.0
6640	1350.0
6650	1654.0
6660	1524.0
6670	1648.0
6680	1676.0
6690	1590.0
6700	1842.0
6710	1620.0
6720	1844.0
6730	1824.0
6740	1662.0
6750	1560.0
6760	1472.0
6770	1634.0
6780	1596.0
6790	1750.0
6800	1654.0
6810	1822.0
6820	1478.0
6830	1866.0
6840	1608.0
6850	1716.0
6860	1564.0
6870	1758.0
6880	1846.0
6890	1596.0
6900	1744.0
6910	1694.0
6920	1464.0
6930	1616.0
6940	1754.0
6950	1646.0
6960	1864.0
6970	1766.0
6980	1490.0
6990	1612.0
7000	1706.0
7010	1632.0
7020	1658.0
7030	1716.0
7040	1556.0
7050	1624.0
7060	1316.0
7070	1564.0
7080	1750.0
7090	1880.0
7100	1724.0
