#MCS	TotalEnergy
7100	22899.0
7110	22729.0
7120	22392.0
7130	22378.0
7140	22451.0
7150	22783.0
7160	22722.0
7170	23083.0
7180	22316.0
7190	22771.0
7200	23086.0
7210	22731.0
7220	22315.0
7230	22181.0
7240	22560.0
7250	22718.0
7260	22082.0
7270	22689.0
7280	22820.0
7290	22223.0
7300	22246.0
7310	22581.0
7320	22386.0
7330	22579.0
7340	22724.0
7350	22408.0
7360	22693.0
7370	22527.0
7380	22029.0
7390	22638.0
7400	22918.0
7410	22479.0
7420	22860.0
7430	22289.0
7440	22219.0
7450	22730.0
7460	22386.0
7470	22680.0
7480	22637.0
7490	22477.0
7500	22720.0
7510	22244.0
7520	22576.0
7530	22623.0
7540	22722.0
7550	22741.0
7560	22573.0
7570	22746.0
7580	22303.0
7590	22178.0
7600	22456.0
7610	22512.0
7620	22205.0
7630	22738.0
7640	22433.0
7650	22231.0
7660	22338.0
7670	22713.0
7680	22230.0
7690	22465.0
7700	22430.0
7710	22209.0
7720	22778.0
7730	22500.0
7740	22383.0
7750	22634.0
7760	22271.0
7770	22399.0
7780	22426.0
7790	22382.0
7800	22592.0
7810	22288.0
7820	22218.0
7830	22413.0
7840	22378.0
7850	22501.0
7860	22046.0
7870	22137.0
7880	22297.0
7890	22448.0
7900	22409.0
7910	22670.0
7920	22649.0
7930	22586.0
7940	22392.0
7950	22546.0
7960	22366.0
7970	22365.0
7980	22187.0
7990	21883.0
8000	22072.0
8010	22184.0
8020	22527.0
8030	22312.0
8040	22522.0
8050	21811.0
8060	22123.0
8070	22084.0
8080	22302.0
8090	21911.0
8100	22147.0
8110	21935.0
8120	22043.0
8130	22282.0
8140	22183.0
8150	22159.0
8160	21958.0
8170	22147.0
8180	21908.0
8190	21826.0
8200	22194.0
8210	22088.0
8220	21968.0
8230	22154.0
8240	22181.0
8250	21902.0
8260	22038.0
8270	22045.0
8280	21826.0
8290	22189.0
8300	22334.0
8310	21998.0
8320	22128.0
8330	21574.0
8340	22118.0
8350	21675.0
8360	22261.0
8370	22213.0
8380	21769.0
8390	21717.0
8400	22094.0
8410	22054.0
8420	21952.0
8430	22215.0
8440	21818.0
8450	21658.0
8460	21700.0
8470	21802.0
8480	21711.0
8490	21626.0
8500	21822.0
8510	22101.0
8520	22245.0
8530	21791.0
8540	21868.0
8550	22005.0
8560	21592.0
8570	21768.0
8580	21763.0
8590	21676.0
8600	21792.0
8610	21631.0
8620	21780.0
8630	21734.0
8640	22045.0
8650	21934.0
8660	22050.0
8670	21752.0
8680	21596.0
8690	21594.0
8700	21910.0
8710	21981.0
8720	21978.0
8730	21641.0
8740	21858.0
8750	21777.0
8760	21830.0
8770	21894.0
8780	21695.0
8790	21374.0
8800	21652.0
8810	21640.0
8820	21632.0
8830	21823.0
8840	21486.0
8850	21661.0
8860	21573.0
8870	21676.0
8880	21639.0
8890	22050.0
8900	21711.0
8910	21764.0
8920	21581.0
8930	21778.0
8940	21620.0
8950	21651.0
8960	21510.0
8970	21559.0
8980	21602.0
8990	21980.0
9000	21899.0
9010	21470.0
9020	21727.0
9030	21499.0
9040	21376.0
9050	21841.0
9060	21824.0
9070	21632.0
9080	21575.0
9090	21866.0
9100	21462.0
9110	21555.0
9120	21514.0
9130	21427.0
9140	21526.0
9150	21616.0
9160	21574.0
9170	21661.0
9180	21701.0
9190	21510.0
9200	21660.0
9210	21777.0
9220	21329.0
9230	21562.0
9240	21503.0
9250	21749.0
9260	21608.0
9270	21386.0
9280	21744.0
9290	21843.0
9300	21528.0
9310	21634.0
9320	21814.0
9330	21682.0
9340	21591.0
9350	21777.0
9360	21642.0
9370	21519.0
9380	21669.0
9390	21602.0
9400	21756.0
9410	21905.0
9420	21754.0
9430	21756.0
9440	21285.0
9450	22026.0
9460	21381.0
9470	21593.0
9480	21573.0
9490	21760.0
9500	21414.0
9510	21876.0
9520	21715.0
9530	21612.0
9540	21614.0
9550	21502.0
9560	21109.0
9570	21291.0
9580	21049.0
9590	21654.0
9600	21261.0
9610	21565.0
9620	21276.0
9630	21297.0
9640	21498.0
9650	21543.0
9660	21597.0
9670	21364.0
