#MCS	Total_energy
17900	145007.01538597757
18000	145931.9070358432
18100	145513.90635707678
18200	146210.57026866532
18300	147309.26516523748
18400	147577.16757497357
18500	146158.62111448488
18600	147594.97230633892
18700	148320.60643299983
18800	148334.851009703
18900	148427.0880817379
19000	148704.33925143234
19100	148468.5182540785
19200	149440.08629389413
19300	149764.10463504202
19400	149847.1703421776
19500	150589.4744753107
19600	150341.34169656536
19700	151162.9727861697
19800	151215.7151641265
19900	151358.49635597938
20000	152517.81047679536
20100	152489.29066571064
20200	153004.7218828052
20300	153335.97372298455
20400	153198.02254679345
20500	153500.68317330672
20600	153726.01990299657
20700	153875.86599302932
20800	154445.84648726016
20900	154445.1429998066
21000	155182.67602791562
21100	155500.97065593328
21200	155798.2179913773
21300	155982.70196112202
21400	156049.1122454935
21500	156698.52698649289
21600	157631.82617919092
21700	157766.13320892528
21800	157763.75669869108
21900	158032.52051617278
22000	158326.54349677742
22100	159048.09531746426
22200	158013.41175080164
22300	159078.60895695453
22400	159865.3633437859
22500	159870.4273394079
22600	159803.4467365819
22700	160520.58991846937
22800	160128.24435935405
22900	161281.87049263378
23000	161320.8780877461
23100	161587.89923644037
23200	162475.21305882322
23300	162655.0089729745
23400	162296.90878020445
23500	163038.22371946496
23600	163828.75695278405
23700	164430.04737147546
23800	163827.42467394096
23900	164766.42710479235
24000	164679.0933335667
24100	164142.88018532345
24200	164927.80589926196
24300	164858.75203039678
24400	165688.56990070673
24500	165908.28234291874
24600	165657.64967613382
24700	167076.87273673314
24800	167055.8434225933
24900	167213.00189189942
25000	167653.358772295
25100	167531.41442414364
25200	167909.33295519208
25300	167565.28146776048
25400	168795.78708297128
25500	168977.82195093183
25600	169026.85400815684
25700	169457.10974896076
25800	169320.78680120365
25900	169412.73666332613
26000	169893.44954974012
26100	170901.90508376947
26200	171444.9701164304
26300	171056.72419987322
26400	171397.76627277624
26500	172125.5728878612
26600	171875.50878073293
26700	172320.5065870829
26800	171997.50904002
26900	172424.39733406212
27000	172862.38967765044
27100	172748.9158250778
27200	172736.94550949958
27300	173038.5806359462
27400	174150.77280984016
27500	173623.32108750808
27600	174339.8639121832
27700	175161.8730122918
27800	175816.84385149888
27900	175179.343893816
28000	175380.0615259416
28100	176748.4354344098
28200	176274.55093501776
28300	177005.68990888834
28400	176786.53200920846
28500	176977.38662188264
28600	177645.39135594288
28700	178175.8175357461
28800	178286.30844135222
28900	178133.36733463174
29000	179144.15294338748
29100	178884.70269470848
29200	179706.8192254165
29300	179854.35869013323
29400	180350.47421682207
29500	181242.31147652422
29600	180712.95759830083
29700	180758.85130214386
29800	181906.32794100203
29900	181516.63538158624
30000	182077.10483504142
30100	182469.30642515773
30200	182482.5862842115
