#MCS	Mean_volume
83200	47.05555555555556
83300	47.138888888888886
83400	47.49305555555556
83500	46.96551724137931
83600	47.02068965517241
83700	47.16551724137931
83800	47.241379310344826
83900	47.38620689655173
84000	47.26896551724138
84100	47.3448275862069
84200	47.56551724137931
84300	47.66896551724138
84400	47.91724137931035
84500	47.92413793103448
84600	47.91034482758621
84700	47.744827586206895
84800	48.0
84900	47.91724137931035
85000	48.00689655172414
85100	48.110344827586204
85200	48.08275862068965
85300	48.234482758620686
85400	48.58620689655172
85500	48.641379310344824
85600	48.57931034482758
85700	48.48275862068966
85800	48.710344827586205
85900	48.48275862068966
86000	48.66206896551724
86100	48.86206896551724
86200	48.793103448275865
86300	48.779310344827586
86400	49.01379310344828
86500	49.10344827586207
86600	48.87586206896552
86700	49.06896551724138
86800	49.09655172413793
86900	48.95862068965517
87000	49.213793103448275
87100	49.52413793103448
87200	49.296551724137935
87300	49.234482758620686
87400	49.248275862068965
87500	49.648275862068964
87600	49.59310344827586
87700	49.24657534246575
87800	48.795918367346935
87900	48.993197278911566
88000	48.89795918367347
88100	49.204081632653065
88200	49.183673469387756
88300	49.224489795918366
88400	49.1156462585034
88500	49.38775510204081
88600	49.197278911564624
88700	49.34013605442177
88800	49.08108108108108
88900	49.195945945945944
89000	49.0
89100	49.16891891891892
89200	49.195945945945944
89300	49.608108108108105
89400	48.74496644295302
89500	48.373333333333335
89600	48.79333333333334
89700	48.8
89800	48.75333333333333
89900	48.973333333333336
90000	48.98
90100	48.85333333333333
90200	49.2
90300	49.14666666666667
90400	48.85333333333333
90500	49.16
90600	49.346666666666664
90700	49.28666666666667
90800	49.46666666666667
90900	49.56
91000	49.36
91100	49.63333333333333
91200	49.693333333333335
91300	49.61333333333334
91400	49.733333333333334
91500	49.50666666666667
91600	49.626666666666665
91700	49.82666666666667
91800	49.75333333333333
91900	49.96
92000	49.51655629139073
92100	49.62251655629139
92200	49.841059602649004
92300	49.64900662251656
92400	49.77483443708609
92500	48.98039215686274
92600	48.86274509803921
92700	49.30718954248366
92800	49.248366013071895
92900	49.28104575163399
93000	49.45751633986928
93100	49.47712418300654
93200	49.470588235294116
93300	49.3921568627451
93400	49.11038961038961
93500	49.16883116883117
93600	49.188311688311686
93700	49.45454545454545
93800	49.07741935483871
93900	49.10322580645161
94000	48.9741935483871
94100	49.23225806451613
94200	49.148387096774194
94300	49.24516129032258
94400	48.92948717948718
94500	48.605095541401276
94600	48.48407643312102
94700	48.63694267515923
94800	48.64331210191083
94900	48.76433121019108
95000	48.745222929936304
95100	48.7515923566879
95200	48.82802547770701
95300	49.152866242038215
95400	49.0
95500	49.152866242038215
95600	49.01910828025478
95700	49.038216560509554
95800	49.394904458598724
95900	49.50955414012739
96000	49.554140127388536
96100	49.29299363057325
96200	49.53503184713376
96300	49.63694267515923
96400	49.6687898089172
96500	49.560509554140125
96600	49.53503184713376
96700	49.77707006369427
96800	49.71337579617835
96900	49.98726114649681
97000	50.05095541401274
97100	49.67088607594937
97200	49.61392405063291
97300	49.81645569620253
97400	49.61392405063291
97500	49.57861635220126
97600	49.16352201257862
97700	49.14375
97800	49.31875
97900	49.1125
98000	49.25625
98100	49.4125
98200	49.5625
98300	49.4375
98400	49.48125
98500	49.65
98600	49.5625
98700	49.73125
98800	49.37888198757764
98900	49.098765432098766
99000	48.98148148148148
99100	49.074074074074076
99200	49.141975308641975
99300	48.828220858895705
99400	49.13496932515337
99500	49.16564417177914
99600	49.06748466257669
99700	49.214723926380366
