#MCS	Total_cells	P_mean	P10	P20	P30	P40	P50	P60	P70	P75	P80	P90	P95	P99	P_max
152900	249	35.66508962876308	28.687809603802087	31.032090089795567	33.232486760020585	35.52381863901828	36.488203989447356	37.8861400486061	38.34646169168518	38.80398456774856	39.677845323407745	40.698230733388485	41.78962352674207	43.91323839968471	47.23538693228329
153000	250	35.448027011502255	29.194442738574253	31.13140786670556	33.058797036838584	35.616848116534314	36.34181117105982	37.03505395054672	38.04128759698633	38.51784222608558	38.86048450521666	40.238803102736895	41.54898586832187	43.74626791460596	46.22099181755402
153100	250	35.720161500727684	29.570194376569454	31.558322833423517	33.375655091188854	35.150256026844	36.58330438976009	37.82258414208663	38.251791131448954	38.93755771484484	39.67614518917544	41.400866823173416	42.289327035232965	45.125514307511764	46.2576037550607
153200	250	36.015875350926166	29.436807997046344	32.32034963818787	34.46459244027155	36.005621299594715	36.620733435399416	37.9077309293818	38.47544118045589	38.972034184878794	39.64773729197877	40.63854338755755	41.594890179239606	44.1742885178913	45.59143403393864
153300	250	36.07404355439215	29.613289620789146	32.314364836100324	34.39093460530876	36.03765743155854	36.99134347196832	37.84999777661433	38.532550859118786	39.22021189742054	39.71422380144795	40.86323988429067	41.778337134829144	43.84506905944956	45.00063052175756
153400	250	35.697207069547645	28.807702712808624	31.22608803997864	33.617512231998624	35.42169248205573	36.88813378842315	37.921631380673716	38.738227275789356	39.57475099630483	39.8162840404435	40.93720945630575	41.7368864065571	43.21343403589897	44.22561375762052
153500	250	35.66460875142113	28.01894342584228	31.289838953817164	33.85678483918546	36.00671169263224	36.883059478254836	37.85454886291954	38.41730702672248	39.21138506965144	39.63950853243114	40.775983722051386	41.73181827619819	43.75079414434445	45.59143403393864
153600	250	35.610629827018975	28.283547071786778	31.00926736701149	34.1042086149796	35.58768490929906	36.58769892089367	37.840538548349286	38.30851903521962	38.79948703979153	39.61018053027838	40.635667716247006	41.81416148995922	44.3694161372339	45.59143403393864
153700	250	35.72339849659326	28.913333508350206	31.193826688294212	34.367646336882714	36.05149196488346	36.71872461322346	37.80923850035033	38.232977045033294	38.809874269435795	39.451694511527606	40.41241592162405	41.58503887639999	44.12768575118152	46.02803070206028
153800	250	35.80155480911837	28.81035865756248	31.348527917106185	33.94749482823754	35.9843957142195	36.6879010971943	37.8712261085715	38.54628788878417	39.218622313112064	39.8238069284278	40.91678175298948	41.768604621659236	43.86299874647458	45.59143403393864
