#MCS	VS_mean	VS_ideal_mean	Q_mean	D_mean
3300	0.3787029893478172	0.5647053387845741	0.6698072060446927	45.69600068699896
3400	0.3787349286028929	0.5646758790028178	0.6698601535663211	47.07186217863482
3500	0.37640906125967305	0.5630873706837958	0.66755864112503	48.46842103747963
3600	0.37716383320362745	0.5643263943509208	0.6674666354779584	49.678652927203075
3700	0.37523308278361106	0.5640170303252033	0.6643346448567016	51.02249149406277
3800	0.3792831057141679	0.5658341880403139	0.6694694761206847	52.31901431294645
3900	0.377241639706851	0.5655667974684087	0.6661997617354217	53.45570017165309
4000	0.38392934718538174	0.5687527563054833	0.6742772248951154	54.68796195791513
4100	0.3816894433081031	0.5667862030539247	0.6728926891850593	55.86782307169606
4200	0.37746426237627567	0.5656046441833771	0.6663618115296452	57.12026969434186
4300	0.3800783361696599	0.5672853257536863	0.6692216231458843	58.42444451037993
4400	0.38393909997790693	0.5695020849355401	0.6734371799518183	59.59975553165438
4500	0.37849311329223023	0.5670242797763847	0.6668077973424493	60.97443824883615
4600	0.38342302661676264	0.5707838617463543	0.6707498513124335	62.2664731334732
4700	0.3858712535363535	0.5714979152825846	0.6741477208479882	63.45565640177201
4800	0.37914367402979754	0.5683414399028945	0.6661695295442026	64.64378400437549
4900	0.37886971564977684	0.5684128187139437	0.6658934005038867	65.99066234584241
5000	0.3783177650867444	0.5682702316450498	0.6647181646508947	67.26996264529178
5100	0.3813860043017997	0.5712091925886934	0.6669246294345086	68.5841960003052
5200	0.3852334820382928	0.5710751847911434	0.6739454702455184	69.73957472514724
5300	0.3839042417568838	0.571847304692997	0.6699490405853875	70.8941043613665
5400	0.38747060885778206	0.5737402277047831	0.6743153889284565	72.07564636809498
5500	0.38948578402121936	0.5749153441668715	0.6768811930862807	73.24011683085064
5600	0.38655750946309886	0.5740477956171955	0.6724142532992622	74.44627090533197
5700	0.38667903611472165	0.5730139968005781	0.6741903079211699	75.5853056589919
5800	0.3844740509397906	0.5740462682579618	0.6690100301075023	76.7740121998498
5900	0.3777997950850287	0.5700657510032978	0.6616525412110148	77.99938195975542
6000	0.3801853229977187	0.5721087874055364	0.6635351018175076	79.25206475285623
6100	0.3921714569092281	0.5779664670384315	0.6775394409825579	80.30063962153787
6200	0.3897133356663111	0.576980087994946	0.6746988359424457	81.45281290352916
6300	0.38720091770432413	0.5774517975842662	0.669437917932451	82.66622580019211
6400	0.3915252380418884	0.5787390162151517	0.6755985160814896	83.81631935827829
6500	0.3888749952471519	0.5769652896027789	0.6731068714599392	85.05938692847285
6600	0.3909487620457447	0.5783371775872159	0.6746230746876304	86.2310787965543
6700	0.3924347098507206	0.57939299146228	0.6763627996521894	87.41957543535142
6800	0.3911038319197385	0.5799335877072876	0.6733887563553939	88.64807350049051
6900	0.3912989177960213	0.5792416112078127	0.6747519963360576	89.72635672962588
7000	0.3903139547162348	0.5789698533818844	0.6731825215068067	90.89724863063954
7100	0.3941402402741895	0.5821557219409406	0.676121159176087	92.03213393141728
7200	0.39467173023223323	0.5812097012661972	0.6780357793361408	93.14212044528125
7300	0.39035205764880615	0.5820322168213121	0.6695229354157725	94.30758250964165
7400	0.39834500477999063	0.5850051149911334	0.679730238994352	95.47280270583848
7500	0.39246058160621566	0.5820665097185408	0.6728152528592694	96.5850039249186
7600	0.3942395178296891	0.5826935707500912	0.6754727005528618	97.6936223801636
7700	0.39504643759922103	0.5849762465761782	0.6741727835320888	98.81715181659786
7800	0.3997031079485599	0.5864556695920358	0.6804003568469845	99.91551545802234
7900	0.40044270934160875	0.5871450685928312	0.6809329412190225	101.06356515218047
8000	0.397775804770203	0.5858054799081777	0.6779083392445319	102.12830130216888
8100	0.39573945915888914	0.5846279934415692	0.6755571831530127	103.23263232924826
