#MCS	Surface_energy
66200	4992.475781204323
66300	4869.606821019761
66400	5230.989144796241
66500	5150.641694865797
66600	5008.298525071564
66700	5185.071727517048
66800	5459.481538442701
66900	5063.307456981054
67000	5024.630593511931
67100	5536.728350031741
67200	4964.872582099325
67300	4719.470036806027
67400	5219.124806676384
67500	5391.61204692773
67600	4868.232942650779
67700	6115.025428168208
67800	4584.82393051197
67900	5124.633345476322
68000	5499.163611422975
68100	5523.624960534474
68200	5416.261907536256
68300	5003.3062149653215
68400	5475.345335823159
68500	5306.674450348815
68600	5272.663473128301
68700	4936.005274540698
68800	4635.056455403431
68900	5242.443035729271
69000	5936.920808473017
69100	5230.339729552256
69200	5047.42004794696
69300	5501.742678626849
69400	4910.757671391188
69500	5046.8294808235705
69600	5445.897563894875
69700	6032.566245624962
69800	4872.057492999903
69900	5278.906976992436
70000	5596.309286734225
70100	5491.068312027891
70200	5177.73425371745
70300	5479.238652997289
70400	6096.4564574128235
70500	5299.097492032057
70600	5434.970622632489
70700	5176.160294513213
70800	5722.331122365653
70900	5870.883095293545
71000	5164.684667469508
71100	5553.881272131368
71200	5473.40009090979
71300	5319.766203751407
71400	5277.532292393893
71500	5999.521341388691
71600	5888.719898174024
71700	5887.289816881252
71800	5231.437434969872
71900	5313.787304536196
72000	5786.232657294347
72100	5764.828060322209
72200	5676.559498498451
72300	4638.9207002420535
72400	5707.507103038802
72500	5690.439405873169
72600	5452.508362502705
72700	5806.428994306664
72800	5959.196958596089
72900	6136.090206285669
73000	5929.96857386822
73100	5446.830324965096
73200	6019.225957349468
73300	5525.362307806535
73400	5202.9427183276
73500	5624.06441327663
73600	5825.116495858108
73700	5589.877585972292
73800	5396.797900933752
73900	5367.8858910477675
74000	5774.533827095279
74100	5640.523972486467
74200	5991.469349644891
74300	5840.171130118688
74400	5752.601654991502
74500	5818.026104961682
74600	5844.098238469312
74700	5465.677930403493
74800	5546.938388038828
74900	5453.186322706757
75000	5843.15593501377
75100	5601.9787859055905
75200	5885.395331112495
75300	5911.527838040999
75400	6016.923307212323
75500	5836.122191634091
75600	5745.34573660527
75700	5809.581205751451
75800	5743.075333848632
75900	5847.754265982531
76000	5629.679106778511
76100	5493.337184169345
76200	6144.658688421843
76300	5995.042714110803
76400	5568.938456028157
76500	6087.335492603608
76600	5742.621212371908
76700	5552.801601831181
76800	5893.799863561178
76900	5686.654178717144
77000	5843.897459975805
77100	5149.800503922635
77200	5868.0216937367895
77300	5792.385694939392
77400	5629.469698699813
77500	5565.102114141123
77600	5777.471296638178
77700	5590.972367111205
77800	5896.205219631081
77900	5792.997732194171
78000	5561.503551362168
78100	5630.674446870058
78200	5485.2032964409755
78300	6795.1807129560075
78400	5933.60234167859
78500	5696.534476041165
78600	5950.756646962479
78700	5395.1854545468905
78800	5818.272836360653
78900	6315.402417222636
79000	6103.2662860679875
79100	5808.63933431152
79200	5843.283172171583
79300	5750.164153522749
79400	6114.818698034469
79500	6314.905327805453
79600	5502.220774033252
79700	5674.900435223344
79800	6325.5705181667245
79900	6208.613399507621
80000	6164.1702196899905
80100	6121.136664087363
80200	6159.4748745869165
80300	6164.869859287815
80400	5713.105032838764
80500	5561.347015862447
80600	5884.371292045372
80700	6216.788485818569
80800	5924.515264194771
80900	6179.073564177266
81000	5907.161190398273
81100	6613.02400736033
81200	5764.611812423319
81300	6155.771543185742
81400	5937.979067488355
81500	6395.94234337317
81600	5897.8911950578595
81700	6234.307763328012
81800	6006.947933056155
81900	6079.297900315915
82000	6540.534362838915
82100	6543.889635507661
82200	6141.36711330015
82300	6312.5707169790785
82400	6441.877352071482
82500	6274.268607385764
82600	6225.770961145472
82700	5959.946521968982
82800	6509.242469587611
82900	6278.064233906472
83000	6617.68047173755
83100	6213.792765276796
83200	6074.544743562657
83300	6348.274671538013
83400	6226.834160310046
83500	5874.086321399051
83600	6008.776979833874
83700	6193.317116901298
83800	6440.20979382432
83900	6424.456627101014
84000	6308.0062697595
84100	6380.214889652966
84200	6358.353360378937
84300	6784.69453962491
84400	6797.0554780591765
84500	6976.796334663465
84600	6490.624183632187
84700	7245.115166680877
84800	6696.15598421836
84900	6428.5397914237155
85000	6696.937762157099
85100	6546.694071062943
85200	6411.477626774659
85300	6896.518834860377
85400	6504.310937664082
85500	6659.058120115509
85600	6564.389891665834
85700	6848.318362608608
85800	6641.2093888648915
