#MCS	ActivatedTCell_Wall_contact_area	Total_cell_Wall_contact_area
35400	1395.0	1395.0
35500	1397.0	1397.0
35600	1406.0	1406.0
35700	1428.0	1428.0
35800	1401.0	1401.0
35900	1429.0	1429.0
36000	1420.0	1420.0
36100	1422.0	1422.0
36200	1429.0	1429.0
36300	1394.0	1394.0
36400	1402.0	1402.0
36500	1412.0	1412.0
36600	1431.0	1431.0
36700	1436.0	1436.0
36800	1434.0	1434.0
36900	1453.0	1453.0
37000	1418.0	1418.0
37100	1433.0	1433.0
37200	1446.0	1446.0
37300	1440.0	1440.0
37400	1434.0	1434.0
37500	1437.0	1437.0
37600	1454.0	1454.0
37700	1454.0	1454.0
37800	1459.0	1459.0
37900	1453.0	1453.0
38000	1440.0	1440.0
38100	1465.0	1465.0
38200	1436.0	1436.0
38300	1460.0	1460.0
38400	1459.0	1459.0
38500	1443.0	1443.0
38600	1462.0	1462.0
38700	1463.0	1463.0
38800	1469.0	1469.0
38900	1476.0	1476.0
39000	1469.0	1469.0
39100	1470.0	1470.0
39200	1465.0	1465.0
39300	1457.0	1457.0
39400	1461.0	1461.0
39500	1482.0	1482.0
39600	1463.0	1463.0
39700	1471.0	1471.0
39800	1471.0	1471.0
39900	1490.0	1490.0
40000	1477.0	1477.0
40100	1486.0	1486.0
40200	1479.0	1479.0
40300	1460.0	1460.0
40400	1475.0	1475.0
40500	1483.0	1483.0
40600	1491.0	1491.0
40700	1489.0	1489.0
40800	1483.0	1483.0
40900	1477.0	1477.0
41000	1498.0	1498.0
41100	1514.0	1514.0
41200	1513.0	1513.0
41300	1489.0	1489.0
41400	1508.0	1508.0
41500	1492.0	1492.0
41600	1508.0	1508.0
41700	1512.0	1512.0
41800	1504.0	1504.0
41900	1502.0	1502.0
42000	1502.0	1502.0
42100	1496.0	1496.0
42200	1518.0	1518.0
42300	1513.0	1513.0
42400	1525.0	1525.0
42500	1524.0	1524.0
42600	1540.0	1540.0
42700	1513.0	1513.0
42800	1522.0	1522.0
42900	1517.0	1517.0
43000	1539.0	1539.0
43100	1542.0	1542.0
43200	1529.0	1529.0
43300	1532.0	1532.0
43400	1537.0	1537.0
43500	1538.0	1538.0
43600	1530.0	1530.0
43700	1511.0	1511.0
43800	1545.0	1545.0
43900	1548.0	1548.0
44000	1530.0	1530.0
44100	1561.0	1561.0
44200	1555.0	1555.0
44300	1554.0	1554.0
44400	1548.0	1548.0
44500	1548.0	1548.0
44600	1546.0	1546.0
44700	1547.0	1547.0
44800	1547.0	1547.0
44900	1556.0	1556.0
45000	1557.0	1557.0
45100	1553.0	1553.0
45200	1553.0	1553.0
45300	1557.0	1557.0
45400	1548.0	1548.0
45500	1561.0	1561.0
45600	1548.0	1548.0
45700	1548.0	1548.0
45800	1559.0	1559.0
45900	1550.0	1550.0
46000	1561.0	1561.0
46100	1554.0	1554.0
46200	1553.0	1553.0
46300	1558.0	1558.0
46400	1560.0	1560.0
46500	1559.0	1559.0
46600	1580.0	1580.0
46700	1568.0	1568.0
46800	1576.0	1576.0
46900	1580.0	1580.0
47000	1571.0	1571.0
47100	1568.0	1568.0
47200	1565.0	1565.0
47300	1549.0	1549.0
47400	1557.0	1557.0
47500	1575.0	1575.0
47600	1580.0	1580.0
47700	1579.0	1579.0
47800	1597.0	1597.0
47900	1592.0	1592.0
48000	1582.0	1582.0
48100	1597.0	1597.0
48200	1603.0	1603.0
48300	1591.0	1591.0
48400	1590.0	1590.0
48500	1621.0	1621.0
48600	1618.0	1618.0
48700	1589.0	1589.0
48800	1596.0	1596.0
48900	1605.0	1605.0
49000	1598.0	1598.0
49100	1605.0	1605.0
49200	1607.0	1607.0
49300	1633.0	1633.0
49400	1629.0	1629.0
49500	1607.0	1607.0
49600	1628.0	1628.0
49700	1625.0	1625.0
49800	1623.0	1623.0
49900	1636.0	1636.0
50000	1646.0	1646.0
50100	1640.0	1640.0
50200	1638.0	1638.0
50300	1647.0	1647.0
50400	1660.0	1660.0
50500	1671.0	1671.0
50600	1646.0	1646.0
50700	1637.0	1637.0
50800	1627.0	1627.0
50900	1661.0	1661.0
51000	1678.0	1678.0
51100	1680.0	1680.0
51200	1685.0	1685.0
51300	1679.0	1679.0
51400	1713.0	1713.0
51500	1695.0	1695.0
51600	1688.0	1688.0
51700	1706.0	1706.0
51800	1712.0	1712.0
51900	1718.0	1718.0
52000	1698.0	1698.0
52100	1702.0	1702.0
52200	1699.0	1699.0
52300	1695.0	1695.0
52400	1731.0	1731.0
52500	1704.0	1704.0
52600	1689.0	1689.0
52700	1715.0	1715.0
52800	1743.0	1743.0
52900	1745.0	1745.0
53000	1729.0	1729.0
53100	1733.0	1733.0
53200	1743.0	1743.0
53300	1750.0	1750.0
53400	1765.0	1765.0
53500	1740.0	1740.0
53600	1740.0	1740.0
53700	1760.0	1760.0
53800	1720.0	1720.0
53900	1749.0	1749.0
54000	1733.0	1733.0
54100	1729.0	1729.0
54200	1728.0	1728.0
54300	1720.0	1720.0
54400	1724.0	1724.0
54500	1746.0	1746.0
54600	1725.0	1725.0
54700	1731.0	1731.0
54800	1731.0	1731.0
54900	1729.0	1729.0
55000	1747.0	1747.0
55100	1754.0	1754.0
55200	1741.0	1741.0
55300	1742.0	1742.0
55400	1734.0	1734.0
55500	1739.0	1739.0
55600	1768.0	1768.0
55700	1722.0	1722.0
55800	1778.0	1778.0
55900	1758.0	1758.0
56000	1752.0	1752.0
56100	1763.0	1763.0
56200	1767.0	1767.0
56300	1780.0	1780.0
56400	1775.0	1775.0
56500	1769.0	1769.0
56600	1787.0	1787.0
56700	1739.0	1739.0
56800	1753.0	1753.0
56900	1742.0	1742.0
57000	1751.0	1751.0
57100	1767.0	1767.0
57200	1744.0	1744.0
57300	1768.0	1768.0
57400	1751.0	1751.0
57500	1756.0	1756.0
57600	1769.0	1769.0
57700	1769.0	1769.0
57800	1752.0	1752.0
57900	1745.0	1745.0
58000	1755.0	1755.0
58100	1755.0	1755.0
58200	1759.0	1759.0
58300	1779.0	1779.0
58400	1769.0	1769.0
58500	1767.0	1767.0
58600	1750.0	1750.0
58700	1770.0	1770.0
58800	1771.0	1771.0
58900	1799.0	1799.0
59000	1811.0	1811.0
59100	1820.0	1820.0
59200	1813.0	1813.0
59300	1771.0	1771.0
59400	1808.0	1808.0
59500	1814.0	1814.0
59600	1809.0	1809.0
59700	1826.0	1826.0
59800	1794.0	1794.0
59900	1809.0	1809.0
60000	1807.0	1807.0
60100	1803.0	1803.0
60200	1824.0	1824.0
60300	1821.0	1821.0
60400	1817.0	1817.0
60500	1820.0	1820.0
60600	1857.0	1857.0
60700	1831.0	1831.0
60800	1824.0	1824.0
60900	1847.0	1847.0
61000	1861.0	1861.0
61100	1864.0	1864.0
61200	1891.0	1891.0
61300	1864.0	1864.0
61400	1850.0	1850.0
61500	1846.0	1846.0
61600	1808.0	1808.0
61700	1851.0	1851.0
61800	1854.0	1854.0
61900	1850.0	1850.0
62000	1845.0	1845.0
62100	1873.0	1873.0
62200	1862.0	1862.0
62300	1857.0	1857.0
62400	1881.0	1881.0
62500	1878.0	1878.0
62600	1867.0	1867.0
62700	1862.0	1862.0
62800	1879.0	1879.0
62900	1875.0	1875.0
63000	1860.0	1860.0
63100	1894.0	1894.0
63200	1861.0	1861.0
63300	1865.0	1865.0
63400	1872.0	1872.0
63500	1879.0	1879.0
63600	1894.0	1894.0
63700	1873.0	1873.0
63800	1882.0	1882.0
63900	1872.0	1872.0
64000	1895.0	1895.0
64100	1885.0	1885.0
64200	1929.0	1929.0
64300	1888.0	1888.0
64400	1916.0	1916.0
64500	1884.0	1884.0
64600	1905.0	1905.0
64700	1918.0	1918.0
64800	1913.0	1913.0
64900	1918.0	1918.0
65000	1910.0	1910.0
65100	1913.0	1913.0
65200	1900.0	1900.0
65300	1903.0	1903.0
65400	1904.0	1904.0
65500	1922.0	1922.0
65600	1931.0	1931.0
65700	1954.0	1954.0
65800	1953.0	1953.0
65900	1937.0	1937.0
66000	1973.0	1973.0
66100	1970.0	1970.0
66200	1986.0	1986.0
66300	1954.0	1954.0
66400	1960.0	1960.0
66500	1981.0	1981.0
66600	1988.0	1988.0
66700	1989.0	1989.0
66800	1994.0	1994.0
66900	1973.0	1973.0
67000	1988.0	1988.0
67100	1994.0	1994.0
67200	1980.0	1980.0
67300	1978.0	1978.0
67400	2000.0	2000.0
67500	1995.0	1995.0
67600	1965.0	1965.0
67700	1987.0	1987.0
67800	1998.0	1998.0
67900	2018.0	2018.0
68000	2012.0	2012.0
68100	2011.0	2011.0
68200	2009.0	2009.0
68300	1994.0	1994.0
68400	2008.0	2008.0
68500	2011.0	2011.0
68600	2004.0	2004.0
68700	2002.0	2002.0
68800	2006.0	2006.0
68900	2022.0	2022.0
69000	2046.0	2046.0
69100	2052.0	2052.0
69200	2022.0	2022.0
69300	2031.0	2031.0
69400	2036.0	2036.0
69500	2010.0	2010.0
69600	2028.0	2028.0
69700	2043.0	2043.0
69800	2037.0	2037.0
69900	2046.0	2046.0
70000	2043.0	2043.0
70100	2034.0	2034.0
70200	2033.0	2033.0
70300	2038.0	2038.0
70400	2063.0	2063.0
70500	2067.0	2067.0
70600	2047.0	2047.0
70700	2056.0	2056.0
70800	2079.0	2079.0
70900	2047.0	2047.0
71000	2016.0	2016.0
71100	2068.0	2068.0
71200	2037.0	2037.0
71300	2033.0	2033.0
71400	2054.0	2054.0
71500	2039.0	2039.0
71600	2050.0	2050.0
71700	2061.0	2061.0
71800	2043.0	2043.0
71900	2036.0	2036.0
72000	2114.0	2114.0
72100	2069.0	2069.0
72200	2088.0	2088.0
72300	2068.0	2068.0
72400	2094.0	2094.0
72500	2089.0	2089.0
72600	2089.0	2089.0
72700	2074.0	2074.0
72800	2107.0	2107.0
72900	2142.0	2142.0
73000	2149.0	2149.0
73100	2123.0	2123.0
73200	2116.0	2116.0
73300	2134.0	2134.0
73400	2138.0	2138.0
73500	2135.0	2135.0
73600	2165.0	2165.0
73700	2129.0	2129.0
73800	2137.0	2137.0
73900	2157.0	2157.0
74000	2175.0	2175.0
74100	2161.0	2161.0
74200	2156.0	2156.0
74300	2170.0	2170.0
74400	2150.0	2150.0
74500	2157.0	2157.0
74600	2182.0	2182.0
74700	2152.0	2152.0
74800	2168.0	2168.0
74900	2149.0	2149.0
75000	2147.0	2147.0
75100	2158.0	2158.0
75200	2170.0	2170.0
75300	2165.0	2165.0
75400	2171.0	2171.0
75500	2170.0	2170.0
75600	2182.0	2182.0
75700	2182.0	2182.0
75800	2172.0	2172.0
75900	2182.0	2182.0
76000	2206.0	2206.0
76100	2200.0	2200.0
76200	2197.0	2197.0
76300	2195.0	2195.0
76400	2195.0	2195.0
76500	2197.0	2197.0
76600	2231.0	2231.0
76700	2216.0	2216.0
76800	2223.0	2223.0
76900	2224.0	2224.0
77000	2223.0	2223.0
77100	2233.0	2233.0
77200	2232.0	2232.0
77300	2213.0	2213.0
77400	2223.0	2223.0
77500	2213.0	2213.0
77600	2236.0	2236.0
77700	2235.0	2235.0
77800	2227.0	2227.0
77900	2244.0	2244.0
78000	2239.0	2239.0
78100	2228.0	2228.0
78200	2249.0	2249.0
78300	2262.0	2262.0
78400	2225.0	2225.0
78500	2262.0	2262.0
78600	2265.0	2265.0
78700	2263.0	2263.0
78800	2241.0	2241.0
78900	2258.0	2258.0
79000	2281.0	2281.0
79100	2272.0	2272.0
79200	2281.0	2281.0
79300	2296.0	2296.0
79400	2304.0	2304.0
79500	2289.0	2289.0
79600	2304.0	2304.0
79700	2341.0	2341.0
79800	2325.0	2325.0
79900	2306.0	2306.0
80000	2331.0	2331.0
80100	2318.0	2318.0
80200	2339.0	2339.0
80300	2340.0	2340.0
80400	2340.0	2340.0
80500	2349.0	2349.0
80600	2356.0	2356.0
80700	2352.0	2352.0
80800	2351.0	2351.0
80900	2366.0	2366.0
81000	2373.0	2373.0
81100	2369.0	2369.0
81200	2396.0	2396.0
81300	2399.0	2399.0
81400	2385.0	2385.0
81500	2394.0	2394.0
81600	2369.0	2369.0
81700	2374.0	2374.0
81800	2384.0	2384.0
81900	2399.0	2399.0
82000	2410.0	2410.0
82100	2396.0	2396.0
82200	2406.0	2406.0
82300	2415.0	2415.0
82400	2420.0	2420.0
82500	2418.0	2418.0
82600	2410.0	2410.0
82700	2389.0	2389.0
82800	2441.0	2441.0
82900	2429.0	2429.0
83000	2434.0	2434.0
83100	2446.0	2446.0
83200	2429.0	2429.0
83300	2433.0	2433.0
83400	2423.0	2423.0
83500	2426.0	2426.0
83600	2419.0	2419.0
83700	2447.0	2447.0
83800	2439.0	2439.0
83900	2451.0	2451.0
84000	2461.0	2461.0
84100	2460.0	2460.0
84200	2474.0	2474.0
84300	2464.0	2464.0
84400	2465.0	2465.0
84500	2483.0	2483.0
84600	2470.0	2470.0
84700	2469.0	2469.0
84800	2473.0	2473.0
84900	2445.0	2445.0
85000	2444.0	2444.0
85100	2476.0	2476.0
85200	2494.0	2494.0
85300	2475.0	2475.0
85400	2510.0	2510.0
85500	2481.0	2481.0
85600	2493.0	2493.0
85700	2472.0	2472.0
85800	2455.0	2455.0
85900	2470.0	2470.0
86000	2476.0	2476.0
86100	2491.0	2491.0
86200	2510.0	2510.0
86300	2505.0	2505.0
86400	2517.0	2517.0
86500	2536.0	2536.0
86600	2504.0	2504.0
86700	2503.0	2503.0
86800	2486.0	2486.0
86900	2491.0	2491.0
87000	2488.0	2488.0
87100	2503.0	2503.0
87200	2504.0	2504.0
87300	2512.0	2512.0
87400	2507.0	2507.0
87500	2528.0	2528.0
87600	2545.0	2545.0
87700	2523.0	2523.0
87800	2533.0	2533.0
87900	2561.0	2561.0
88000	2535.0	2535.0
88100	2531.0	2531.0
88200	2541.0	2541.0
88300	2556.0	2556.0
88400	2556.0	2556.0
88500	2555.0	2555.0
88600	2537.0	2537.0
88700	2564.0	2564.0
88800	2573.0	2573.0
88900	2569.0	2569.0
89000	2581.0	2581.0
89100	2583.0	2583.0
89200	2585.0	2585.0
89300	2565.0	2565.0
89400	2583.0	2583.0
89500	2581.0	2581.0
89600	2596.0	2596.0
89700	2602.0	2602.0
89800	2592.0	2592.0
