#MCS	Mean_pressure	{Cells_over_pressure_threshold}
67900	34.91730904228356	61
68000	35.145139475770264	58
68100	34.65390037651498	61
68200	34.88940029372003	63
68300	34.74846763051344	62
68400	34.91455104751813	65
68500	35.3243233864414	63
68600	34.760187421789	60
68700	35.097935948189715	64
68800	35.149370798529084	68
68900	35.10181782287778	67
69000	34.82980840489507	65
69100	34.90702957643355	61
69200	34.86519680553405	62
69300	35.11489800919623	66
69400	34.56487752026961	58
69500	35.19254169547144	60
69600	35.27326461556053	68
69700	34.52277466986771	56
69800	35.475266272476155	70
69900	34.92747825822048	61
70000	34.643728122911426	60
70100	34.445684104418724	61
70200	34.72088844225071	60
70300	34.901564160572846	58
70400	34.60392691009308	55
70500	35.0059687271676	63
70600	35.09690463034532	67
70700	34.75053121764432	62
70800	34.894112597212946	57
70900	34.95664145133835	57
71000	35.65920318641784	62
71100	35.00198000797386	57
71200	34.876422879269896	66
71300	35.395301666624825	64
71400	35.48128954738659	73
71500	34.87282303415987	65
71600	35.021218671185174	58
71700	34.90843787215447	60
71800	35.19720811188649	61
71900	35.10651283174598	62
72000	34.717006411580705	55
72100	35.06390689842244	61
72200	35.03365114585219	61
72300	35.69796869596574	67
72400	34.76882470626549	57
72500	34.931991908759	62
72600	34.60135490536149	62
72700	34.90447345793532	59
72800	34.92106917668499	58
72900	35.147731022269994	61
73000	34.41331182229273	55
73100	35.61550251997803	68
73200	34.618552090453626	61
73300	34.925116363013565	60
73400	35.414815654328216	60
73500	35.12902942124791	58
73600	34.85246088016651	57
73700	34.89111306816923	62
73800	35.13362246977846	64
73900	35.142234052532054	64
74000	34.81051091048888	63
74100	35.03408488336882	65
74200	34.59623375062862	61
74300	35.02496606625429	64
74400	34.40049202399076	53
74500	34.77564910265496	65
74600	34.61263734810588	57
74700	35.08005783534553	68
74800	35.14768773603204	70
74900	35.23202682177184	68
75000	34.65924188313649	59
75100	34.76188375483268	60
75200	34.940264376562425	62
75300	35.09873331964155	64
75400	35.231680503567624	67
75500	34.706196625395414	65
75600	34.356215779191935	57
75700	34.89557372459421	60
75800	34.660386023568826	56
75900	34.983084602466306	59
76000	34.55650969370072	60
76100	34.86168739627752	66
76200	34.99699925719478	63
76300	34.77137786013706	63
76400	34.853984914201114	59
76500	35.27302141438405	65
76600	34.81728358453943	67
76700	34.932810398471126	56
76800	34.718526996677376	62
76900	34.760941328756	63
77000	34.98982741248849	68
77100	34.86009673755521	66
77200	35.18127725775822	66
77300	35.37663149973517	67
77400	34.98503742441551	58
77500	34.74545069313326	66
77600	34.916722848621305	66
77700	35.007667687540874	67
77800	35.45811622767427	73
77900	34.77971477546144	65
78000	35.215479765738195	69
78100	35.017139504166316	67
78200	35.31702369912315	70
78300	35.116649647185056	68
78400	35.13076648469611	69
78500	34.99669682448443	67
78600	34.50767136813262	71
78700	35.0172620227053	64
78800	35.02710687125113	61
78900	34.91083717288352	64
79000	34.70396257680301	62
79100	34.86706668788375	65
79200	34.58588257591837	61
79300	34.916580667429535	68
79400	34.15930512702064	60
79500	34.57982698281525	64
79600	35.24478784320869	73
79700	35.00299896095511	71
79800	34.711434673727624	72
